Date,Category,Description,Amount,Payment_Method
2026-03-01,Rent,Monthly Apartment Lease,1200.00,Bank Transfer
2026-03-02,Groceries,Whole Foods Market,85.50,Debit Card
2026-03-04,Entertainment,Steam - AAA Game Release,59.99,Credit Card
2026-03-05,Utilities,Electricity & Water Bill,145.00,Autopay
2026-03-07,Dining Out,Sushi Dinner with Friends,62.00,Credit Card
2026-03-10,Transport,Fuel / Gas Station,55.00,Debit Card
2026-03-12,Impulse Buy,TikTok Viral Kitchen Gadget,34.50,Credit Card
2026-03-15,Shopping,New Running Shoes,120.00,Credit Card
2026-03-18,Subscriptions,Netflix & Spotify,25.00,Autopay
2026-03-20,Entertainment,PlayStation Store - Indie Game,19.99,Credit Card
2026-03-22,Groceries,Local Mart,92.30,Debit Card
2026-03-25,Health,Gym Membership,50.00,Credit Card
2026-03-27,Impulse Buy,Mystery Subscription Box,45.00,Credit Card
2026-03-28,Dining Out,Coffee & Pastries,12.50,Debit Card
2026-04-01,Rent,Monthly Apartment Lease,1200.00,Bank Transfer
2026-04-03,Groceries,Whole Foods Market,98.00,Debit Card
2026-04-05,Utilities,Electricity & Water Bill,130.00,Autopay
2026-04-06,Entertainment,Nintendo eShop Game,49.99,Credit Card
2026-04-08,Dining Out,Pizza Delivery,35.00,Credit Card
2026-04-10,Impulse Buy,In-App Game Microtransactions,15.99,Credit Card
2026-04-12,Transport,Uber / Public Transit,45.00,Debit Card
2026-04-15,Shopping,Amazon - Home Decor,210.00,Credit Card
2026-04-18,Subscriptions,Netflix & Spotify,25.00,Autopay
2026-04-20,Entertainment,Steam - Game on Sale,14.99,Credit Card
2026-04-22,Groceries,Local Mart,115.00,Debit Card
2026-04-24,Impulse Buy,3rd Reusable Water Bottle,38.00,Credit Card
2026-04-25,Health,Gym Membership,50.00,Credit Card
2026-04-27,Dining Out,Weekend Brunch,45.00,Credit Card
